icelandic	de	en	tags	note	split
rauður	rot	red	colour	Highly productive first element: rauðrófa, rauðvín, rauðkál.	
blár	blau	blue	colour		
grænn	grün	green	colour		
gulur	gelb	yellow	colour		
svartur	schwarz	black	colour		
hvítur	weiß	white	colour		
brúnn	braun	brown	colour		
grár	grau	grey	colour		
bleikur	rosa	pink	colour		
fjólublár	violett	purple	colour	Literally violet-blue: fjóla is the flower (violet). Colours take fjólu-, ljós- and dökk- as first elements.	
ljósblár	hellblau	light blue	colour	ljós- (light) and dökk- (dark) combine with any colour.	
dökkgrænn	dunkelgrün	dark green	colour		
glaður	froh	happy	people,feeling		
leiður	traurig	sad	people,feeling		
fyndinn	lustig	funny	people		
reiður	wütend	angry	people,feeling		
rólegur	ruhig	calm	people,feeling	ró (calm) + -legur. The suffix -legur/-leg/-legt turns a noun into an adjective, like English -ly or German -lich.	
duglegur	tüchtig	hard-working	people		
latur	faul	lazy	people		
gáfaður	klug	clever	people		
vingjarnlegur	freundlich	friendly	people		
kurteis	höflich	polite	people		
feitur	dick	fat	people		
mjór	dünn	thin	people,object		
grannur	schlank	slim	people		
sterkur	stark	strong	people,object		
ungur	jung	young	people		
gamall	alt	old	people,object	Irregular comparison: gamall, eldri, elstur.	
hávaxinn	hochgewachsen	tall	people		
lágvaxinn	kleinwüchsig	short in stature	people		
stór	groß	big	object	Irregular comparison: stór, stærri, stærstur.	
lítill	klein	small	object	Irregular comparison: lítill, minni, minnstur.	
nýr	neu	new	object		
langur	lang	long	object		
stuttur	kurz	short	object		
breiður	breit	wide	object		
þungur	schwer	heavy	object		
léttur	leicht	light in weight	object		
harður	hart	hard	object		
mjúkur	weich	soft	object		
kaldur	kalt	cold	object,feeling		
heitur	heiß	hot	object,feeling		
fallegur	schön	beautiful	object,people		
ljótur	hässlich	ugly	object,people		
hreinn	sauber	clean	object		
skítugur	schmutzig	dirty	object		
dýr	teuer	expensive	object		
ódýr	billig	cheap	object	The prefix ó- negates any adjective: ódýr, óhreinn, ólíkur.	
góður	gut	good	object,people	Irregular comparison: góður, betri, bestur.	
vondur	schlecht	bad	object,people		
þreyttur	müde	tired	feeling		
syfjaður	schläfrig	sleepy	feeling		
svangur	hungrig	hungry	feeling		
þyrstur	durstig	thirsty	feeling		
veikur	krank	sick	feeling		
hræddur	verängstigt	afraid	feeling		
spenntur	aufgeregt	excited	feeling		
stressaður	gestresst	stressed	feeling		
einmana	einsam	lonely	feeling	Indeclinable — one form for every gender and case.	
hringlaga	rund	round	object	hringur (circle) + -laga (shaped). The ending -laga means shaped like; compare kringlóttur.	hring=hringur laga=-
dökkrauður	dunkelrot	dark red	colour		
dökkblár	dunkelblau	dark blue	colour		
ljósgrænn	hellgrün	light green	colour		
ljósgrár	hellgrau	light grey	colour		
dökkgrár	dunkelgrau	dark grey	colour		
