lemma	related	pos	de	en	rel
reiður	reiði	kvk	die Wut	anger	noun
reiður	reiðast	so	wütend werden	to get angry	verb
glaður	gleði	kvk	die Freude	joy	noun
glaður	gleðja	so	erfreuen	to gladden	verb
leiður	leiðindi	hk	die Langeweile	boredom	noun
leiður	leiðast	so	sich langweilen	to be bored	verb
latur	leti	kvk	die Faulheit	laziness	noun
kurteis	kurteisi	kvk	die Höflichkeit	politeness	noun
feitur	fita	kvk	das Fett	fat	noun
feitur	fitna	so	dick werden	to get fat	verb
langur	lengd	kvk	die Länge	length	noun
langur	lengja	so	verlängern	to lengthen	verb
stuttur	stytta	so	verkürzen	to shorten	verb
stór	stærð	kvk	die Größe	size	noun
stór	stækka	so	vergrößern	to enlarge	verb
lítill	minnka	so	verkleinern	to reduce	verb
breiður	breidd	kvk	die Breite	width	noun
breiður	breikka	so	verbreitern	to widen	verb
mjór	mjókka	so	schmaler werden	to narrow	verb
þungur	þyngd	kvk	das Gewicht	weight	noun
þungur	þyngja	so	beschweren	to make heavier	verb
léttur	létta	so	erleichtern	to lighten	verb
hár	hæð	kvk	die Höhe	height	noun
hár	hækka	so	erhöhen	to raise	verb
lágur	lækka	so	senken	to lower	verb
sterkur	styrkur	kk	die Stärke	strength	noun
sterkur	styrkja	so	stärken	to strengthen	verb
veikur	veikindi	hk	die Krankheit	illness	noun
veikur	veikja	so	schwächen	to weaken	verb
gamall	elli	kvk	das Alter	old age	noun
gamall	eldast	so	altern	to age	verb
ungur	æska	kvk	die Jugend	youth	noun
fallegur	fegurð	kvk	die Schönheit	beauty	noun
góður	gæska	kvk	die Güte	goodness	noun
vondur	vonska	kvk	die Bosheit	malice	noun
kaldur	kuldi	kk	die Kälte	cold	noun
kaldur	kólna	so	kalt werden	to get cold	verb
heitur	hiti	kk	die Hitze	heat	noun
heitur	hitna	so	heiß werden	to get hot	verb
hræddur	hræðsla	kvk	die Angst	fear	noun
hræddur	hræðast	so	sich fürchten	to be afraid	verb
þreyttur	þreyta	kvk	die Müdigkeit	tiredness	noun
þreyttur	þreytast	so	müde werden	to get tired	verb
þyrstur	þorsti	kk	der Durst	thirst	noun
svangur	hungur	hk	der Hunger	hunger	noun
hreinn	hreinsa	so	reinigen	to clean	verb
skítugur	skítur	kk	der Schmutz	dirt	noun
rólegur	ró	kvk	die Ruhe	calm	stem
duglegur	dugnaður	kk	der Fleiß	diligence	stem
vingjarnlegur	vinur	kk	der Freund	friend	stem
vingjarnlegur	vinátta	kvk	die Freundschaft	friendship	noun
gáfaður	gáfa	kvk	die Begabung	talent	stem
fyndinn	fyndni	kvk	der Humor	humour	noun
hringlaga	hringur	kk	der Kreis	circle	stem
svartur	sverta	so	schwärzen	to blacken	verb
hvítur	hvítna	so	weiß werden	to turn white	verb
rauður	roði	kk	die Röte	redness	noun
