icelandic	pos	de	en	note
flaska	kvk	die Flasche	bottle	
tappi	kk	der Korken|der Stöpsel	cap|stopper	
rúða	kvk	die Scheibe	pane	
eldur	kk	das Feuer	fire	
safn	hk	die Sammlung	collection	
laug	kvk	das Bad|die heiße Quelle	pool|hot spring	
klæði	hk	das Tuch	cloth	
bolti	kk	der Ball	ball	
bolli	kk	die Tasse	cup	
veiting	kvk	die Bewirtung	serving of food	
staður	kk	der Ort|der Platz	place	
ís	kk	das Eis	ice	
skápur	kk	der Schrank	cupboard	
lög	hk	das Gesetz	law	Plural only — no singular exists in this sense.
lag	hk	das Lied|die Schicht	song|layer	Distinct from lög (law), which is plurale tantum.
regla	kvk	die Regel	rule	
sjón	kvk	das Sehen|der Anblick	sight|vision	
varp	hk	die Sendung|der Wurf	broadcast|throw	
tönn	kvk	der Zahn	tooth	Compound stem tann- is a frozen u-umlaut form (tannbursti).
bursti	kk	die Bürste	brush	
stjóri	kk	der Leiter|der Fahrer	manager|operator	
blað	hk	das Blatt	sheet|leaf	
búð	kvk	der Laden	shop	
sund	hk	das Schwimmen	swimming	
för	kvk	die Fahrt|die Reise	journey	Travel sense. Compound stem far- belongs to this family, not to far (mark).
far	hk	die Spur|die Mitfahrt	mark|ride	A mark left behind, or casually a lift/ride. NOT the journey word — that is för.
hár	lo	hoch	high	ADJECTIVE, support only. Beware the unrelated noun hár (hk) = hair.
sjúkur	lo	krank	sick	ADJECTIVE, support only. Appears as gen.pl sjúkra in sjúkrahús.
rauður	lo	rot	red	ADJECTIVE, support only. Highly productive first element: rauðrófa, rauðvín, rauðkál.
rófa	kvk	die Rübe	root vegetable|turnip	Also means tail (of an animal) — a homograph. In rauðrófa it is the vegetable.
dökkur	lo	dunkel	dark	ADJECTIVE. dökk- combines with any colour: dökkgrænn, dökkblár.
ljós	lo	hell	light-coloured	ADJECTIVE. ljós- combines with any colour: ljósblár, ljósgrænn.
lágur	lo	niedrig	low	ADJECTIVE, opposite of hár.
fjóla	kvk	das Veilchen	violet (flower)	The flower. fjólublár is literally violet-blue.
vaxinn	lo	gewachsen	grown	Past participle of vaxa (to grow); only used in compounds like hávaxinn.
hringur	kk	der Kreis	circle	hring- and -laga combine: hringlaga means circle-shaped.
gjarn	lo	geneigt	inclined to	ADJECTIVE. Appears in vingjarnlegur: friend-inclined-ly.
