icelandic	de	en	tags	note	bin_id	supine
vera	sein	to be	core	The most irregular verb: er, ert, er, erum, eruð, eru.		
hafa	haben	to have	core	Also the auxiliary for the perfect: ég hef talað.		
gera	machen|tun	to do|to make	core			
verða	werden	to become	core			
eiga	besitzen	to own|to have	core			
geta	können	to be able to	core	Takes the supine: ég get talað.		getað
vilja	wollen	to want	core			
þurfa	brauchen|müssen	to need	core			
mega	dürfen	to be allowed to	core			
kunna	können	to know how to	core	Skill, not permission. Contrast geta.		
ætla	vorhaben	to intend to	core	ætla að + infinitive is the everyday future.		
fara	gehen|fahren	to go	motion,core			
koma	kommen	to come	motion,core			
ganga	laufen|gehen	to walk	motion			
hlaupa	rennen	to run	motion			
keyra	fahren	to drive	motion			
fljúga	fliegen	to fly	motion			
synda	schwimmen	to swim	motion			
standa	stehen	to stand	motion			
sitja	sitzen	to sit	motion			
liggja	liegen	to lie	motion			
setja	setzen|stellen	to put	motion			
leggja	legen	to lay	motion			
segja	sagen	to say	speech,core			
tala	sprechen	to speak	speech,core			
spyrja	fragen	to ask	speech			
svara	antworten	to answer	speech			
heita	heißen	to be called	speech,core	Ég heiti — the first sentence anyone learns.	434170	
biðja	bitten	to ask for	speech			
þakka	danken	to thank	speech			
hringja	anrufen	to phone	speech			
senda	senden|schicken	to send	speech			
sjá	sehen	to see	mind,core			
horfa	schauen	to watch	mind			
hlusta	hören|zuhören	to listen	mind			
vita	wissen	to know	mind,core	Facts. For people and places use þekkja.		
þekkja	kennen	to know	mind			
skilja	verstehen	to understand	mind,core			
hugsa	denken	to think	mind			
halda	glauben|halten	to believe|to hold	mind			
muna	sich erinnern	to remember	mind			
gleyma	vergessen	to forget	mind			
læra	lernen	to learn	mind,work			
kenna	lehren	to teach	work			
lesa	lesen	to read	mind,work			
skrifa	schreiben	to write	work			
vinna	arbeiten	to work	work,core	Also means to win.		
kaupa	kaufen	to buy	work			
selja	verkaufen	to sell	work			
borga	bezahlen	to pay	work			
hjálpa	helfen	to help	work			
nota	benutzen	to use	work			
finna	finden	to find	work			
leita	suchen	to search	work			
byrja	anfangen	to begin	work			
hætta	aufhören	to stop	work			
opna	öffnen	to open	daily			
loka	schließen	to close	daily			
bíða	warten	to wait	daily			
borða	essen	to eat	food,daily			
drekka	trinken	to drink	food,daily			
elda	kochen	to cook	food		428154	
baka	backen	to bake	food			
smakka	probieren	to taste	food			
sofa	schlafen	to sleep	daily			
sofna	einschlafen	to fall asleep	daily			
vakna	aufwachen	to wake up	daily			
þvo	waschen	to wash	daily			
klæða	kleiden	to dress	daily			
gefa	geben	to give	daily,core			
taka	nehmen	to take	daily,core			
elska	lieben	to love	feeling			
hata	hassen	to hate	feeling			
hlæja	lachen	to laugh	feeling			
gráta	weinen	to cry	feeling			
vona	hoffen	to hope	feeling			
reyna	versuchen	to try	feeling			
dansa	tanzen	to dance	leisure			
syngja	singen	to sing	leisure			
spila	spielen	to play	leisure	An instrument or a game. For children playing use leika.		
leika	spielen	to play	leisure			
ferðast	reisen	to travel	leisure	Middle voice: the -st ending is part of the verb.		
